"filename", "language", "Markdown", "XML", "JavaScript", "JavaScript JSX", "CSS", "JSON", "HTML", "SQL", "comment", "blank", "total"
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\.eslintrc.cjs", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\config\express.config.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 9, 33
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\controller\product.controller.js", "JavaScript", 0, 0, 123, 0, 0, 0, 0, 0, 4, 15, 142
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\controller\user.controller.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 4, 78
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\env.clone.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\helper\helper.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\index.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\jobs\imageUploaderJob.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\package-lock.json", "JSON", 0, 0, 0, 0, 0, 2232, 0, 0, 0, 1, 2233
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\package.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231209215857_new\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 50, 9, 15, 74
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231210004053_new\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 3, 10, 3, 16
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231210045113_post_upgrated\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231211105725_user_model\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 17, 1, 2, 20
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\prisma\migrations\20231211122212_image\migration.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat\api\service\image.service.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 2, 5, 41
