Date : 2023-12-19 09:40:23
Directory : c:\Users\DELL\OneDrive\Desktop\Eclat\Eclat
Total : 107 files,  25121 codes, 120 comments, 552 blanks, all 25793 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          4 |     20,712 |          0 |          4 |     20,716 |
| JavaScript JSX |         62 |      3,099 |         82 |        397 |      3,578 |
| JavaScript     |         29 |      1,168 |         16 |        113 |      1,297 |
| SQL            |          5 |         72 |         22 |         22 |        116 |
| CSS            |          4 |         47 |          0 |         11 |         58 |
| HTML           |          1 |         17 |          0 |          1 |         18 |
| Markdown       |          1 |          5 |          0 |          4 |          9 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                          |        107 |     25,121 |        120 |        552 |     25,793 |
| . (Files)                                                                                                                  |          8 |     18,530 |          2 |         13 |     18,545 |
| api                                                                                                                        |         17 |      2,763 |         31 |         74 |      2,868 |
| api (Files)                                                                                                                |          4 |      2,277 |          3 |          5 |      2,285 |
| api\config                                                                                                                 |          1 |         24 |          0 |          9 |         33 |
| api\controller                                                                                                             |          2 |        197 |          4 |         19 |        220 |
| api\helper                                                                                                                 |          1 |         14 |          0 |          2 |         16 |
| api\jobs                                                                                                                   |          1 |         20 |          0 |          2 |         22 |
| api\prisma                                                                                                                 |          5 |         72 |         22 |         22 |        116 |
| api\prisma\migrations                                                                                                      |          5 |         72 |         22 |         22 |        116 |
| api\prisma\migrations\20231209215857_new                                                                                   |          1 |         50 |          9 |         15 |         74 |
| api\prisma\migrations\20231210004053_new                                                                                   |          1 |          3 |         10 |          3 |         16 |
| api\prisma\migrations\20231210045113_post_upgrated                                                                         |          1 |          1 |          1 |          1 |          3 |
| api\prisma\migrations\20231211105725_user_model                                                                            |          1 |         17 |          1 |          2 |         20 |
| api\prisma\migrations\20231211122212_image                                                                                 |          1 |          1 |          1 |          1 |          3 |
| api\service                                                                                                                |          3 |        159 |          2 |         15 |        176 |
| public                                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src                                                                                                                        |         81 |      3,827 |         87 |        465 |      4,379 |
| src (Files)                                                                                                                |          2 |         23 |          0 |          3 |         26 |
| src\admin                                                                                                                  |         32 |      1,326 |          0 |        166 |      1,492 |
| src\admin\admin-components                                                                                                 |          3 |        163 |          0 |         17 |        180 |
| src\admin\admin-pages                                                                                                      |         27 |      1,078 |          0 |        139 |      1,217 |
| src\admin\admin-pages (Files)                                                                                              |         10 |        127 |          0 |         31 |        158 |
| src\admin\admin-pages\dashboard-components                                                                                 |          6 |         91 |          0 |         18 |        109 |
| src\admin\admin-pages\product-components                                                                                   |          6 |        466 |          0 |         47 |        513 |
| src\admin\admin-pages\user-components                                                                                      |          5 |        394 |          0 |         43 |        437 |
| src\admin\admin-routes                                                                                                     |          2 |         85 |          0 |         10 |         95 |
| src\components                                                                                                             |         17 |        838 |         52 |        131 |      1,021 |
| src\components\checkout                                                                                                    |          1 |         73 |          1 |          8 |         82 |
